tensiometer,d15cm,d45cm,d75cm,when
1,3,7,10,25/04/17 07:00
1,3,9,11,26/04/17 07:00
1,4,12,10,27/04/17 07:00
1,6,18,10,28/04/17 07:00
1,NaN,NaN,NaN,29/04/17 07:00
1,NaN,NaN,NaN,30/04/17 07:00
1,NaN,NaN,NaN,01/05/17 07:00
1,5,8,10,02/05/17 07:00
1,2,6,10,03/05/17 07:00
1,0,8,9,04/05/17 07:00
1,2,8,8,05/05/17 07:00
1,NaN,NaN,NaN,06/05/17 07:00
1,NaN,NaN,NaN,07/05/17 07:00
1,7,9,10,08/05/17 07:00
1,2,8,9,09/05/17 07:00
1,4,7,10,10/05/17 07:00
1,4,8,12,11/05/17 07:00
1,6,10,12,12/05/17 07:00
1,NaN,NaN,NaN,13/05/17 07:00
1,NaN,NaN,NaN,14/05/17 07:00
1,12,15,10,15/05/17 07:00
1,18,27,10,16/05/17 07:00
1,39,27,8,17/05/17 07:00
